Secondaries investors say some valuations are still too high,https://techcrunch.com/2023/12/19/secondaries-investors-valuations-high/,"While valuations have fallen quite a bit, some sectors are still too inflated for secondaries investors to find attractive."
"Volkswagen, Porsche, Audi to adopt Tesla’s charging standard",https://techcrunch.com/2023/12/19/volkswagen-porsche-audi-to-adopt-teslas-charging-standard/,"The Volkswagen Group is the latest automaker to announce it will adopt Tesla’s so-called North American Charging Standard (NACS), marking one of the last major automakers to embrace what is now the"
Astrobotic ready to launch Peregrine lunar lander in early January,https://techcrunch.com/2023/12/19/astrobotic-ready-to-launch-peregrine-lunar-lander-in-early-january/,"Astrobotic’s first lunar lander is ready for lift-off. The company announced Tuesday that the lander, called Peregrine, has completed final checkouts and fueling after it was mated with United Launc"
Beeper’s upcoming fix requires users to have access to a Mac,https://techcrunch.com/2023/12/19/beepers-upcoming-fix-requires-users-to-have-access-to-a-mac/,"Beeper, the app that brings iMessage to Android users, is implementing a fix that it says will allow users to once again access the service after Apple blocked it. However, the fix requires you to hav"
"EthSign brings DocuSign-like features to Line, Telegram with a web3 twist",https://techcrunch.com/2023/12/19/ethsign-line-telegram-blockchain-esignature/,"Despite the ongoing regulatory crackdown on the crypto industry and the collapse of some of its poster children, the underlying decentralized technology continues to drive internet incumbents into the"
Blue Origin’s New Shepard makes triumphant return flight,https://techcrunch.com/2023/12/19/blue-origins-new-shepard-makes-triumphant-return-flight/,"Blue Origin’s New Shepard is officially back in action, with the company today successfully launching the suborbital rocket for the first time in more than 15 months. The rocket lifted off from Blue"
The outlook for startups in 2024 is hazy,https://techcrunch.com/2023/12/19/the-outlook-for-startups-in-2024-is-hazy/,"Even though the economy is signaling a bit of a bounce-back, 2024 might not be much better than 2023 when it comes to startups sharing a piece of the budget pie."
"Okta snatches up security firm Spera, reportedly for over $100M",https://techcrunch.com/2023/12/19/okta-snatches-up-security-firm-spera-reportedly-for-over-100m/,"Okta, the identity and access management company, is acquiring security firm Spera. Anticipated to close during the fiscal first quarter beginning in early February, the Spera acquisition will build o"
EU to expand support for AI startups to tap its supercomputers for model training,https://techcrunch.com/2023/12/19/eu-supercomputers-for-ai-training-support/,"A European Union plan to support homegrown AI startups by providing them with access to processing power for model training on the bloc’s supercomputers, which was announced back in September an"
"Music marketing startup Breakr raises more capital, pays $3.5M to creators",https://techcrunch.com/2023/12/19/music-marketing-startup-breakr-raises-more-capital-pays-3-5m-to-creators/,"We last wrote about Breakr — a platform that connects record labels, artists and brands with social media influencers to run mass campaigns in a programmatic way — when it closed a $4.2 m"
Microsoft Copilot gets a music creation feature via Suno integration,https://techcrunch.com/2023/12/19/microsoft-copilot-gets-a-music-creation-feature-via-suno-integration/,"Microsoft Copilot, Microsoft’s AI-powered chatbot, can now compose songs thanks to an integration with GenAI music app Suno. Users can enter prompts into Copilot like “Create a pop song ab"
My Pocket Lawyer aims to make justice more accessible,https://techcrunch.com/2023/12/19/my-pocket-lawyer-aims-to-make-justice-more-accessible/,"Becca and Dom are joined by Charlie Hernandez, the founder and CEO of My Pocket Lawyer, an online platform that is meant to democratize access to legal advice and guidance."
8 predictions for AI in 2024,https://techcrunch.com/2023/12/19/8-predictions-for-ai-in-2024/,"This last year was a banger for AI as the technology went from niche to mainstream about as fast as anything ever has. 2024, however, will be the year when the hype runs full-steam into reality as peo"
All the changes coming to Google Play and sideloading following $700M settlement,https://techcrunch.com/2023/12/19/all-the-changes-coming-to-google-play-and-sideloading-following-700m-settlement/,"Google announced today that it will pay $700 million as a part of a settlement with the U.S. attorney general for a lawsuit over Google Play Store. Along with that, the company has also agreed to take"
ScaleOps looks to cut cloud bills by automating Kubernetes configurations,https://techcrunch.com/2023/12/19/scaleops-looks-to-cut-cloud-bills-by-automating-kubernetes-configurations/,"One of the advantages of using Kubernetes to handle container orchestration is that the containers are ephemeral, living only as long as needed and then going away. That was supposed to help solve a"
The small and affordable EVs we lost in 2023,https://techcrunch.com/2023/12/19/the-small-and-affordable-evs-we-lost-in-2023/,"From the ElectraMeccanica Solo to the Honda e, let's remember all the small and low(er)-priced electric vehicles that didn't make it in 2023."
Startup shutdowns and AI showdowns: The 2023 chronicles,https://techcrunch.com/2023/12/19/startup-shutdowns-and-ai-showdowns-the-2023-chronicles/,"Welcome back to Equity, a podcast about the business of startups. This is the first of a two-part series that we built for you going back over critical themes from 2023."
SoftBank sells Open Opportunity Fund to Black and Latino executives,https://techcrunch.com/2023/12/19/softbank-sells-open-opportunity-fund-to-black-and-latino-executives/,"The Japanese conglomerate is selling the Open Opportunity Fund to its chairman Paul Judge, and Marcelo Claure, who's being appointed as vice chairman and general partner."
Why videos of $500 beauty advent calendars are flooding TikTok,https://techcrunch.com/2023/12/19/why-videos-of-500-beauty-advent-calendars-are-flooding-tiktok/,"Are you in the right headspace to receive information that could possibly hurt you? Dior sells an advent calendar for $4,200. It comes with white-glove delivery. And there’s more where that came fro"
"Space tech forecast for 2024: Rising investments, lunar exploration, and pivotal SpaceX moments",https://techcrunch.com/2023/12/19/2024-spacetech-forecast-rising-investments-lunar-exploration-and-pivotal-spacex-moments/,"Huge technological developments have continued, with new sectors developing space solutions to help tackle some of humanity’s greatest problems on Earth."
